"Paragraf, Hovedområde, Aktivitetsområde, Hovedkonto, Underkonto";"2015";"2016";"2017";"2018";"2019";"2020" 
"14310250 Dansk Flygtningehjælp - Dokumentation og rådg"; 11,9; 16,1; 11,6; 11,6; 11,6; 11,6
"14310260 Dansk Flygtningehjælp - Deltagelse i ÅG-sager"; 6,7; 6,6; 2,6; 1,8; 1,8; 1,8
"143103 Bidrag til int. org. mv. "; 24,7; 26,8; 9,4; 9,4; 9,4; 9,4
"14310310 Medlemsbidrag til IOM "; 2,0; 2,0; 1,6; 1,6; 1,6; 1,6
"14310320 Medlemsbidrag til IGC "; 0,7; 0,7; 0,6; 0,6; 0,6; 0,6
"14310330 Den Internationale Organisation for Migration"; 22,0; 21,7; 4,4; 4,4; 4,4; 4,4
"14310350 Medlemsbidrag til GDISC "; 0,0; 0,2; 0,2; 0,2; 0,2; 0,2
"14310360 Modtage- og omsorgsfaciliteter for umi'er "; 0,0; 2,2; 2,2; 2,2; 2,2; 2,2
"14310370 Modtagelse af tvangsmæssigt hjemsendte "; 0,0; 0,0; 0,4; 0,4; 0,4; 0,4
"143104 Politiets reg. og uds. af asylansøgere mv. "; 36,0; 37,6; 42,7; 38,7; 38,7; 38,7
"14310410 Reg. og udsendelse af asylansøgere mv. "; 36,0; 37,6; 42,7; 38,7; 38,7; 38,7
"143179 Reserve vedr. flygtninge og indvandrere "; 0,0; 23,4; 23,7; 23,7; 23,7; 23,7
"14317910 Reserve "; 0,0; 8,2; 8,5; 8,5; 8,5; 8,5
"14317930 Reserve til styrkelse af sagsbehandlingen "; 0,0; 15,2; 15,2; 15,2; 15,2; 15,2
"1432 Indkv. og underhold af asylansøgere mv "; 2490,2; 3733,1; 3624,6; 3293,3; 3257,6; 3303,3
"143201 Drift og tilpasning af indkvarteringssystemet "; 1044,0; 1076,0; 1121,1; 954,6; 949,5; 949,1
"14320110 Husleje og ejendomsudgifter "; 210,0; 287,7; 290,8; 255,1; 250,6; 252,7
"14320120 Bygningsmæssig drift og vedligeholdelse mv. "; 330,6; 402,5; 169,2; 148,4; 145,7; 147,0
"14320130 Øvrige udgifter til drift af indk.systemet "; 123,9; 242,6; 501,0; 423,6; 419,2; 418,8
"14320140 Tilpasninger af indkvarteringssystemet "; 309,3; 119,3; 98,7; 77,9; 83,6; 80,7
"14320150 Opretholdelse af fysisk beredskab "; 0,5; 0,5; 0,5; 0,5; 0,5; 0,5
"14320160 Diverse indtægter og udgifter "; 79,9; 33,7; 60,9; 49,1; 49,9; 49,4
"14320170 Besparelser i centersystemet "; -10,2; -10,3; 0,0; 0,0; 0,0; 0,0
"143202 Indkvartering og underhold af asylansøgere "; 1041,8; 1851,4; 1743,2; 1621,0; 1594,1; 1630,0
"14320210 Opholdscentre "; 402,4; 719,6; 702,1; 696,2; 707,4; 727,1
"14320215 Opholdscentre - afviste asylansøgere mv. "; 41,3; 31,7; 18,0; 18,0; 16,7; 16,7
"14320220 Omsorgscentre "; 21,1; 28,9; 29,2; 29,1; 28,6; 28,6
"14320230 Modtagecentre "; 180,5; 267,9; 233,8; 167,2; 167,2; 167,2
"14320235 Udrejsecentre "; 21,5; 26,9; 87,5; 87,5; 85,7; 85,7
"14320240 Børnecentre "; 214,2; 398,3; 455,1; 432,4; 401,6; 412,0
"14320250 Fremrykket danskundervisning "; 39,9; 71,5; 51,0; 38,5; 30,9; 30,9
"14320260 Særlige social- og sundhedsydelser "; 112,2; 291,6; 266,7; 255,2; 258,6; 264,4
"14320270 Ledsagede uledsagede mindreårige "; 8,7; 15,0; 12,8; 9,9; 10,4; 10,4
"14320285 Budgetregulering "; 0,0; 0,0; -13,0; -13,0; -13,0; -13,0
"14320286 Budgetregulering vedr. analyse af indkvart. "; 0,0; 0,0; -100,0; -100,0; -100,0; -100,0
"143203 Øvrige initiativer på indkvarteringsområdet "; 101,1; 209,7; 276,8; 270,4; 263,2; 263,2
"14320310 Udflytning fra asylcentre "; 40,8; 74,1; 25,3; 18,5; 11,7; 11,7
"14320320 Styrkede undervisnings- og aktiveringstilbud "; 14,2; 31,7; 31,2; 31,2; 31,2; 31,2
"14320330 Styrkede tilbud til børne- og ungegruppen "; 21,6; 27,1; 26,8; 27,2; 26,8; 26,8
"14320340 Styrket rådgivning "; 14,8; 18,9; 18,5; 18,5; 18,5; 18,5
"14320350 Mere målrettet indkvartering af asylansøgere "; 9,6; 57,9; 175,0; 175,0; 175,0; 175,0
"143204 Støtteordning for asylansøgere "; 15,0; 0,0; 0,0; 0,0; 0,0; 0,0
"14320410 Støtteordning for asylansøgere "; 15,0; 0,0; 0,0; 0,0; 0,0; 0,0
"143210 Kontante ydelser mv. til asylansøgere m.fl. "; 288,2; 596,0; 483,5; 447,3; 450,8; 461,0
"14321010 Grundydelser til asylansøgere "; 124,8; 214,8; 197,8; 192,6; 195,6; 201,3
"14321020 Forsørgertillæg til asylansøgere "; 46,0; 81,8; 71,3; 67,7; 68,3; 70,2
"14321030 Tillægsydelser til asylansøgere "; 50,3; 150,4; 115,9; 103,7; 103,4; 105,7
"14321040 Naturalieydelser til asylansøgere "; 0,6; 1,1; 1,7; 2,5; 2,7; 2,8
"14321050 Naturalieydelser i modtagesystemet "; 66,5; 147,9; 96,8; 80,8; 80,8; 81,0
"145 Støtte til boligbyggeri, byfornyelse og bolig "; -10126,1; 1543,4; 1559,8; 944,6; 534,8; 678,1
"1451 Alment boligbyggeri "; 717,6; 1175,7; 1163,4; 678,3; 297,7; 446,0
"145101 Ydelsesstøtte til almene boliger "; 712,8; 1259,5; 1387,2; 695,2; 263,8; 456,2
"14510145 Ydelsesst. til almene boliger, eft. 1/7 2009 "; 705,6; 1236,7; 1367,0; 675,0; 243,6; 436,0
"14510150 Ydelsesstøtte til renovering "; 7,3; 20,1; 19,4; 19,4; 19,4; 19,4
"14510155 Ydelsesstøtte til universitetsnære "; 0,0; 2,7; 0,8; 0,8; 0,8; 0,8
"145102 Ungdomsboligbidrag til almene boliger "; 129,4; 223,5; 91,9; 135,4; 91,9; 91,9
"14510210 Ungdomsboligbidrag til almene boliger "; 129,4; 218,2; 86,7; 130,2; 86,7; 86,7
"14510215 Ungdomsboligbidrag til universitetsnære "; 0,0; 5,3; 5,2; 5,2; 5,2; 5,2
"145103 Tilskud til indretning af servicearealer "; 41,7; 36,0; 48,0; 60,0; 36,0; 48,0
"14510310 Tilskud til indretning af servicearealer "; 41,7; 36,0; 48,0; 60,0; 36,0; 48,0
"145104 Administrationsgebyr vedr. almene boliger "; -8,9; -20,2; -20,4; -26,7; -17,2; -11,1
"14510410 Administrationsgebyr, Udbetaling Danmark "; -8,9; -20,2; -20,4; -26,7; -17,2; -11,1
"145105 Finansiering af alment nybyggeri "; -181,1; -329,1; -354,8; -181,8; -69,9; -118,0
"14510510 Indtægter fra Landsbyggefonden "; -181,1; -327,1; -352,8; -179,8; -67,9; -116,0
"14510520 Provenu fra salg af almene boliger "; 0,0; -2,0; -2,0; -2,0; -2,0; -2,0
"145107 Statslån til Landsbyggefonden "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"14510710 Statslån, Udbetaling Danmark "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"14510715 Finansiering af forrentning af statslån "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"14510720 Renter af statslån, Udbetaling Danmark "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"145108 Adm.udgifter til støttet byggeri mv. "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"14510820 Administrationsudgifter "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"145111 Støtte til fremme af udv. af almene boliger "; 11,0; 14,0; 17,2; 17,2; 14,1; 14,1
"14511110 Fremme af udv. af almene boliger mv. "; 11,0; 14,0; 17,2; 17,2; 14,1; 14,1
"145112 Boliger til yngre fysisk handicappede "; -1,7; 0,0; 0,0; 0,0; 0,0; 0,0
"14511210 Boliger til yngre fysisk handicappede "; -1,7; 0,0; 0,0; 0,0; 0,0; 0,0
"145116 Tab på garantier for flygtninges fraflytn "; 4,8; 5,0; 6,0; 6,0; 6,0; 2,0
"14511610 Tab på garantier for flygtninges fraflytn. "; 4,8; 5,0; 6,0; 6,0; 6,0; 2,0
"145117 Støtte til beboerindskud "; -7,9; 8,8; 8,9; 8,9; 8,9; 8,9
"14511710 Støtte til betaling af beboerindskud "; -7,9; 8,8; 8,9; 8,9; 8,9; 8,9
"145150 Boligsocialt Udviklingscenter "; 5,8; 5,8; 0,0; 0,0; 0,0; 0,0
"14515010 Tilskud til Center for Boligsocial Udvikling "; 5,8; 5,8; 0,0; 0,0; 0,0; 0,0
"145151 Støtte til boligsocial indsats "; 6,4; 5,0; 5,0; 0,0; 0,0; 0,0
"14515110 Tilskud til indsats i problemr. boligområder "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"14515120 Tilskud til helhedsor. gadeplansindsats "; -2,6; 0,0; 0,0; 0,0; 0,0; 0,0
"14515130 Tilskud til foreb. af hjemløsh og udsættelser"; -0,2; 0,0; 0,0; 0,0; 0,0; 0,0
"14515140 Forebyggelse af udsættelse af lejere "; 9,4; 5,0; 5,0; 0,0; 0,0; 0,0
"14515150 Støtte til lige muligheder for børn "; -0,2; 0,0; 0,0; 0,0; 0,0; 0,0
"145152 Støtte til startboliger til unge "; 5,5; 0,0; 0,0; 0,0; 0,0; 0,0
"14515210 Støtte til etabl. af startboliger til unge "; 4,2; 0,0; 0,0; 0,0; 0,0; 0,0
"14515220 Tilsk til etablering af startboliger til unge"; 1,3; 0,0; 0,0; 0,0; 0,0; 0,0
"145154 Støtte til boliger til unge "; 14,8; 10,2; 0,0; 0,0; 0,0; 0,0
"14515410 Ungdomsboligbidr til ommærkede almene boliger"; 14,8; 10,2; 0,0; 0,0; 0,0; 0,0
"145155 Indsats i ghettoområder "; -6,4; 0,0; 0,0; 0,0; 0,0; 0,0
"14515510 Tilskud til fraflytning i ghettoområder "; -2,8; 0,0; 0,0; 0,0; 0,0; 0,0
"14515520 Tilskud til strat. samarbejder i ghettoomr. "; -2,3; 0,0; 0,0; 0,0; 0,0; 0,0
"14515530 Tilskud til tv-overvågning "; -1,3; 0,0; 0,0; 0,0; 0,0; 0,0
"14515540 Tilskud til flyttehjælp "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"145156 Indsats i udsatte boligområder "; 10,0; 10,2; 10,3; 0,0; 0,0; 0,0
"14515610 Helhedsorienteret boligsocial indsats "; 10,0; 10,2; 10,3; 0,0; 0,0; 0,0
"145157 Tilskud til inklusionsboliger "; 0,0; 0,0; 10,1; 10,1; 10,1; 0,0
"14515710 Støtte til etablering af inklusionsboliger "; 0,0; 0,0; 10,1; 10,1; 10,1; 0,0
"145161 Forsøg i det almene boligbyggeri "; 11,2; 0,0; 0,0; 0,0; 0,0; 0,0
"14516110 Forsøg, opl. og inds. af data i alm. boligbg."; 11,2; 0,0; 0,0; 0,0; 0,0; 0,0
"145162 Energibesparelser i den almene boligsektor "; 0,5; 3,0; 0,0; 0,0; 0,0; 0,0
"14516220 Energisparepulje i den almene sektor "; 0,5; 3,0; 0,0; 0,0; 0,0; 0,0
"145177 Lån og garantier til almene boliger mv. "; -33,4; -68,0; -58,0; -58,0; -58,0; -58,0
"14517710 Afdrag og indfr. vedr. lån til alm. bol., UDK"; -33,4; -68,0; -58,0; -58,0; -58,0; -58,0
"145178 Afskrivninger på lån til almene boliger mv. "; 3,2; 12,0; 12,0; 12,0; 12,0; 12,0
"14517830 Afskr. af uerholdelige beløb, alm. bol., UDK "; 3,2; 12,0; 12,0; 12,0; 12,0; 12,0
"1452 Privat boligbyggeri "; 67,0; 140,5; 189,2; 63,1; 46,7; 46,7
"145201 Støtte til andelsboliger "; -0,8; 0,0; 0,0; 0,0; 0,0; 0,0
"14520110 Ydelsesstøtte til andelsboliger med indekslån"; -0,8; 0,0; 0,0; 0,0; 0,0; 0,0
"145204 Administrationsgebyr vedrørende friplejebolig "; -0,3; -0,9; -0,8; -0,8; -0,9; -0,9
"14520420 Administrationsgebyr, Udbetaling Danmark "; -0,3; -0,9; -0,8; -0,8; -0,9; -0,9
"145205 Støtte til friplejeboliger "; 28,8; 81,7; 54,2; 54,2; 37,9; 37,9
"14520515 Ydelsesstøtte til friplejeboliger "; 28,8; 81,7; 54,2; 54,2; 37,9; 37,9
"145206 Tilskud til indretning af servicearealer "; 8,6; 9,0; 9,0; 9,0; 9,0; 9,0
"14520610 Tilskud til indretning af servicearealer "; 8,6; 9,0; 9,0; 9,0; 9,0; 9,0
"145207 Støtte til beboerindskud i friplejeboliger "; 0,0; 0,7; 0,7; 0,7; 0,7; 0,7
"14520710 Beboerindskud i friplejeboliger "; 0,0; 0,7; 0,7; 0,7; 0,7; 0,7
"145215 Tilskud til etablering af midlertidige bolig "; 0,0; 0,0; 75,8; 0,0; 0,0; 0,0
"14521510 Tilskud til midlertidige boliger "; 0,0; 0,0; 75,8; 0,0; 0,0; 0,0
"145262 Energibesparelser i den private boligsektor "; 33,1; 50,0; 50,3; 0,0; 0,0; 0,0
"14526210 Energirenoveringer og klimatilpasninger "; 33,1; 50,0; 50,3; 0,0; 0,0; 0,0
"145277 Lån og garantier til private boliger mv. "; -2,3; -1,0; -1,0; -1,0; -1,0; -1,0
"14527710 Afdrag og indfr. på lån til priv. bol., UDK "; -2,3; -1,0; -1,0; -1,0; -1,0; -1,0
"145278 Afskrivninger på lån til private boliger mv. "; 0,0; 1,0; 1,0; 1,0; 1,0; 1,0
"14527830 Afskr. på uerholdelige beløb, priv. bol., UDK"; 0,0; 1,0; 1,0; 1,0; 1,0; 1,0
"1453 Byfornyelse "; 299,9; 227,2; 207,2; 203,2; 190,4; 185,4
"145301 Byfornyelse "; 276,7; 207,5; 187,4; 183,4; 170,6; 165,6
"14530111 Forbedringstilskud til udlejningsboliger "; 0,0; 0,1; 0,0; 0,0; 0,0; 0,0
"14530121 Refusion af byfornyelsesudgifter "; 0,0; 0,2; 0,0; 0,0; 0,0; 0,0
"14530131 Kontant betaling af byfornyelsestab "; 0,0; 0,1; 0,0; 0,0; 0,0; 0,0
"14530141 Refusion af byfornyelsesudgift "; 0,0; 44,5; 37,9; 36,6; 32,1; 30,3
"14530142 Refusion af udgifter til områdefornyelse "; 80,0; 60,0; 70,0; 70,0; 70,0; 70,0
"14530143 Indfasningsstøtte til forbedringsarbejder "; 0,0; 10,2; 4,8; 4,6; 4,0; 3,8
"14530144 Støtte til vedligeholdelsesudgifter "; 196,8; 37,1; 37,3; 36,2; 33,0; 31,7
"14530145 Kontant tilskud til ejer- og andelsboliger "; 0,0; 53,3; 36,9; 35,5; 31,1; 29,4
"14530146 Erstatninger vedrørende påbud "; 0,0; 2,0; 0,5; 0,5; 0,4; 0,4
"145305 Saneringslån og saneringstilskud "; -0,9; -1,0; -1,0; -1,0; -1,0; -1,0
"14530540 Refusion fra Københavns Kommune "; -0,9; -1,0; -1,0; -1,0; -1,0; -1,0
"145311 Oplysning og vejledning vedrørende byforn. "; 4,9; 5,0; 5,0; 5,0; 5,0; 5,0
"14531110 Oplysning og vejledning "; 4,9; 5,0; 5,0; 5,0; 5,0; 5,0
"145312 Udredning og forsøg vedrørende byfornyelse "; 3,6; 5,7; 5,8; 5,8; 5,8; 5,8
"14531210 Udredning og forsøg "; 3,6; 5,7; 5,8; 5,8; 5,8; 5,8
"145377 Lån og garantier vedrørende byfornyelse mv. "; 5,9; 0,0; 0,0; 0,0; 0,0; 0,0
"14537710 Afdrag og indfr. på lån til byfornyelse., UDK"; -14,9; -10,0; -10,0; -10,0; -10,0; -10,0
"14537722 Indfrielse af garanti vedrørende tabslån (san"; 20,8; 10,0; 10,0; 10,0; 10,0; 10,0
"145378 Afskrivninger på lån vedr. byfornyelse mv. "; 9,6; 10,0; 10,0; 10,0; 10,0; 10,0
"14537830 Afskr. af uerholdelige beløb, alm. bol., UDK "; 9,6; 10,0; 10,0; 10,0; 10,0; 10,0
"1454 Hensættelser vedrørende alment boligbyggeri "; -9050,2; 0,0; 0,0; 0,0; 0,0; 0,0
"145401 Hensættelse vedrørende ydelsesstøtte "; -8078,9; 0,0; 0,0; 0,0; 0,0; 0,0
"14540110 Hensættelse vedr ydelsesstøtte bol. indeks. "; -380,9; 0,0; 0,0; 0,0; 0,0; 0,0
"14540140 Hensættelse vedrørende ydelsesstøtte "; -4319,9; 0,0; 0,0; 0,0; 0,0; 0,0
"14540145 Hens. vedr. ydelsesstøtte til almen. 1.7.2009"; -3320,1; 0,0; 0,0; 0,0; 0,0; 0,0
"14540150 Hensættelse vedrørende ydelsesstøtte "; -58,0; 0,0; 0,0; 0,0; 0,0; 0,0
"145402 Hensættelse vedrørende ungdomsboligbidrag "; -164,6; 0,0; 0,0; 0,0; 0,0; 0,0
"14540210 Hensættelse vedrørende ungdomsboligbidrag "; -164,6; 0,0; 0,0; 0,0; 0,0; 0,0
"145403 Hensættelse vedr. tilskud til ældreboliger "; 12,0; 0,0; 0,0; 0,0; 0,0; 0,0
"14540310 Hensættelse vedrørende tilskud til ældrebolig"; 12,0; 0,0; 0,0; 0,0; 0,0; 0,0
"145405 Hensættelse vedr. finansiering af alm. nybyg. "; 28,6; 0,0; 0,0; 0,0; 0,0; 0,0
"14540510 Hensættelse vedr. indt. fra Landsbyggefonden "; 28,6; 0,0; 0,0; 0,0; 0,0; 0,0
"145431 Hensættelse vedrørende rentesikring "; -129,3; 0,0; 0,0; 0,0; 0,0; 0,0
"14543110 hens. vedr. rentesikring til almene boliger "; -129,3; 0,0; 0,0; 0,0; 0,0; 0,0
"145432 Hensættelse vedrørende rente- og afdragsbidr. "; 281,8; 0,0; 0,0; 0,0; 0,0; 0,0
"14543210 Hens. vedr. rent til alme. boligbyggeri "; 218,6; 0,0; 0,0; 0,0; 0,0; 0,0
"14543220 Hensættelse vedrørende rente- og afdragsbidr."; 69,2; 0,0; 0,0; 0,0; 0,0; 0,0
"14543230 Hens. vedr. rentebidrag til ældreboliger "; -6,0; 0,0; 0,0; 0,0; 0,0; 0,0
"145433 Hensættelse vedr. ydelsessikr. til alm. bolig "; -447,3; 0,0; 0,0; 0,0; 0,0; 0,0
"14543310 Hens. vedr. ydelsessikring til alm. boligafd."; -447,3; 0,0; 0,0; 0,0; 0,0; 0,0
"145434 Hensættelse vedr. ydelsesst. til alm. boliger "; -147,8; 0,0; 0,0; 0,0; 0,0; 0,0
"14543410 Hens. vedr. ydel. til alm. bo. før 1.1.1994 "; -147,8; 0,0; 0,0; 0,0; 0,0; 0,0
"145435 Hens. vedr. driftsstøtte mv. til alm boliger "; 10,5; 0,0; 0,0; 0,0; 0,0; 0,0
"14543520 Hens. vedr. drifts. til almene byggerier "; 0,4; 0,0; 0,0; 0,0; 0,0; 0,0
"14543530 Hens. vedr. huslejesik til vis. alm. boligafd"; 10,1; 0,0; 0,0; 0,0; 0,0; 0,0
"145441 Hensættelse vedr. rentesikr. til ung.boliger "; -4,8; 0,0; 0,0; 0,0; 0,0; 0,0
"14544110 Hens. vedr. rentesikring til ungdomsboliger "; -4,8; 0,0; 0,0; 0,0; 0,0; 0,0
"145442 Hensættelse vedr rente- og afdragsbidrag "; 56,7; 0,0; 0,0; 0,0; 0,0; 0,0
"14544210 Hens. vedr. rentebidrag til ungdomsboliger "; 25,5; 0,0; 0,0; 0,0; 0,0; 0,0
"14544220 Hens. vedr. afdragsbidrag til ungdomsboliger "; 31,2; 0,0; 0,0; 0,0; 0,0; 0,0
"145443 Hensættelse vedr. ydelsesst. til ung.boliger "; -574,9; 0,0; 0,0; 0,0; 0,0; 0,0
"14544310 Hens. vedr. ydelsess. til ungdomsboliger "; -574,9; 0,0; 0,0; 0,0; 0,0; 0,0
"145445 Hensættelse vedr. støtte til kollegier mv. "; 107,9; 0,0; 0,0; 0,0; 0,0; 0,0
"14544510 Hens. vedr. drifts. til kollegier og enkeltvæ"; 107,9; 0,0; 0,0; 0,0; 0,0; 0,0
"1455 Hensættelse vedrørende privat boligbyggeri "; -183,2; 0,0; 0,0; 0,0; 0,0; 0,0
"145501 Hensættelse vedr. støtte til andelsboliger "; -59,5; 0,0; 0,0; 0,0; 0,0; 0,0
"14550110 Hens. vedr. ydelses. til andel. med indekslån"; -30,2; 0,0; 0,0; 0,0; 0,0; 0,0
"14550120 Hensættelse vedr. støtte til andelsboli. "; -29,3; 0,0; 0,0; 0,0; 0,0; 0,0
"145505 Hensættelse vedr. støtte til friplejeboliger "; -164,3; 0,0; 0,0; 0,0; 0,0; 0,0
"14550510 Hens. vedr. ydelsesstøtte til friplejeboliger"; -46,8; 0,0; 0,0; 0,0; 0,0; 0,0
"14550515 Hensættelse vedrørende ydelsesstøtte til frip"; -117,5; 0,0; 0,0; 0,0; 0,0; 0,0
"145506 Hensættelse vedr. friplejebolig "; -4,4; 0,0; 0,0; 0,0; 0,0; 0,0
"14550610 Hens. vedr. servicearealer friplejeboliger "; -4,4; 0,0; 0,0; 0,0; 0,0; 0,0
"145511 Hensættelse vedr. rentesikr. til andelsbolig "; -1,3; 0,0; 0,0; 0,0; 0,0; 0,0
"14551110 Hens. vedr. rentes. til andelsboliger "; -1,3; 0,0; 0,0; 0,0; 0,0; 0,0
"145512 Hensættelse vedr. rentebidrag til andelsbolig "; 46,3; 0,0; 0,0; 0,0; 0,0; 0,0
"14551210 Hens. vedr. rentebidrag til andelsboliger "; 46,3; 0,0; 0,0; 0,0; 0,0; 0,0
"1456 Hensættelser vedrørende byfornyelse "; -1977,2; 0,0; 0,0; 0,0; 0,0; 0,0
"145601 Hensættelse vedrørende byfornyelse "; -1542,8; 0,0; 0,0; 0,0; 0,0; 0,0
"14560111 Hensættelse vedr. forbedringstilsk udlejn. "; -284,1; 0,0; 0,0; 0,0; 0,0; 0,0
"14560112 Hensættelse vedrørende forbedringstilskud "; 3,9; 0,0; 0,0; 0,0; 0,0; 0,0
"14560113 Hensættelse vedr. engangstilskud til udlejn. "; -0,1; 0,0; 0,0; 0,0; 0,0; 0,0
"14560115 Hensættelse vedr. tilskud til andelsboliger "; -1,9; 0,0; 0,0; 0,0; 0,0; 0,0
"14560121 Hensættelse vedr. ref. af byfornyelsesudg. "; -226,0; 0,0; 0,0; 0,0; 0,0; 0,0
"14560131 Hensættelse vedr. kont. bet. af byforn.tab "; -79,0; 0,0; 0,0; 0,0; 0,0; 0,0
"14560171 Hensættelse vedr. ydelsesbidr. til forb.arb. "; -955,6; 0,0; 0,0; 0,0; 0,0; 0,0
"145602 Hensættelse vedr. ydelsesstøtte til forb.arb. "; -203,9; 0,0; 0,0; 0,0; 0,0; 0,0
"14560210 Hens. vedr. ydelsesbidrag til tab. "; -203,9; 0,0; 0,0; 0,0; 0,0; 0,0
"145603 Hensættelse vedr. tilsk. til aftalt boligforb "; -80,7; 0,0; 0,0; 0,0; 0,0; 0,0
"14560310 Hen. vedr. tilskud til privat byfornyelse "; -80,7; 0,0; 0,0; 0,0; 0,0; 0,0
"145604 Hensættelse vedr. rentesikr. til sanering "; 1,1; 0,0; 0,0; 0,0; 0,0; 0,0
"14560410 Hens. vedr. rentesikring til sanering "; 1,1; 0,0; 0,0; 0,0; 0,0; 0,0
"145606 Hensættelse vedr. rente- og afdragsbidr. "; -91,2; 0,0; 0,0; 0,0; 0,0; 0,0
"14560610 Hens. vedr. rentebi. forbedringsarbejder "; -106,5; 0,0; 0,0; 0,0; 0,0; 0,0
"14560620 Hens. vedr. forbedringsarbejder "; 15,3; 0,0; 0,0; 0,0; 0,0; 0,0
"145608 Hensættelse vedr. bygningsforn. i kvarterløft "; -58,1; 0,0; 0,0; 0,0; 0,0; 0,0
"14560810 Hens. vedr. kvarterløftindsats "; -58,1; 0,0; 0,0; 0,0; 0,0; 0,0
"145609 Hensættelse vedr. målr. byforn. i belast. omr "; -1,6; 0,0; 0,0; 0,0; 0,0; 0,0
"14560910 Hens. vedr. særligt belastede byområder "; -1,6; 0,0; 0,0; 0,0; 0,0; 0,0
"146 Initiativer vedrørende integration mv. "; 65,2; 90,0; 105,7; 100,7; 67,7; 45,3
"1461 Indsatser vedrørende byer "; -3,7; 0,0; 0,0; 0,0; 0,0; 0,0
"146101 Forebyggelse af krim. i udsatte boligområder "; -3,4; 0,0; 0,0; 0,0; 0,0; 0,0
"14610110 Forebyggelse af krim. i socialt ud. boligom. "; -3,4; 0,0; 0,0; 0,0; 0,0; 0,0
"146103 Indsats vedrørende socialt belastede områder "; -0,3; 0,0; 0,0; 0,0; 0,0; 0,0
"14610320 Styrkelse af frivil. arb. i socialt be. omr. "; -0,3; 0,0; 0,0; 0,0; 0,0; 0,0
"146104 Bypolitiske initiativer "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"14610440 Byudviklingspuljen "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"1462 Indsatser vedr. integration mv. "; 1,0; 27,8; 51,8; 58,4; 34,0; 11,6
"146201 Nydanske kvinders vej til beskæftigelse "; -0,1; 0,0; 0,0; 0,0; 0,0; 0,0
"14620110 Nydanske kvinders vej til beskæftigelse "; -0,1; 0,0; 0,0; 0,0; 0,0; 0,0
"146202 Opsøgende indsats over for selvforsørgende "; 9,1; 2,1; 2,1; 2,1; 2,1; 2,1
"14620210 Opsøgende indsats over for selvforsørgede "; 9,1; 0,0; 0,0; 0,0; 0,0; 0,0
"14620220 Indsats overfor selvforsørgede "; 0,0; 2,1; 2,1; 2,1; 2,1; 2,1
"146203 Et mangfoldigt arbejdsmarked "; -3,6; 0,0; 0,0; 0,0; 0,0; 0,0
"14620320 Fastholdelse af nydanskere på arbejdsmarkedet"; -3,6; 0,0; 0,0; 0,0; 0,0; 0,0
"14620330 Etnisk erhvervsfremme "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"146205 Nedbrydning af barrierer for beskæftigelse "; -2,5; 0,0; 0,0; 0,0; 0,0; 0,0
"14620510 Arbejdsmarkedspolitiske initiativer "; -2,5; 0,0; 0,0; 0,0; 0,0; 0,0
"146206 Særlig indsats for børn og unge "; 0,4; 0,0; 0,0; 0,0; 0,0; 0,0
"14620610 Særlig indsats for børn og unge "; 3,3; 0,0; 0,0; 0,0; 0,0; 0,0
"14620620 forældreinddragelsen blandt nydanske forældre"; -3,0; 0,0; 0,0; 0,0; 0,0; 0,0
"146207 Efteruddannelse "; 5,7; 3,7; 3,6; 3,5; 3,4; 3,3
"14620710 Efteruddannelse "; 5,7; 3,7; 3,6; 3,5; 3,4; 3,3
"146208 Arbejdsmarkedsdansk "; -7,9; 0,0; 0,0; 0,0; 0,0; 0,0
"14620810 Grundkursus i arbejdsmarkedsdansk "; -8,2; 0,0; 0,0; 0,0; 0,0; 0,0
"14620820 Erhvervsrettet DK-undervisning på internettet"; 0,3; 0,0; 0,0; 0,0; 0,0; 0,0
"146209 Integration der virker "; 0,0; 22,0; 13,1; 14,4; 3,0; 0,0
"14620910 Målrettet beskæftigelsesindsats "; 0,0; 16,0; 13,1; 14,4; 3,0; 0,0
"14620920 Brancheorienteret tilgang "; 0,0; 6,0; 0,0; 0,0; 0,0; 0,0
"146211 Beskæftigelsesrettet virksomhedsbonus "; 0,0; 0,0; 24,1; 24,1; 14,1; 0,0
"14621110 Beskæftigelsesrettet virksomhedsbonus "; 0,0; 0,0; 24,1; 24,1; 14,1; 0,0
"146212 IGU-bonus til private virksomheder "; 0,0; 0,0; 8,9; 14,3; 11,4; 6,2
"14621210 IGU-bonus til private virksomheder "; 0,0; 0,0; 8,9; 14,3; 11,4; 6,2
"1463 Initiativer vedr. international rekruttering "; 2,2; 4,0; 0,0; 0,0; 0,0; 0,0
"146301 Projekter for udenlandsk arbejdskraft "; 1,8; 2,0; 0,0; 0,0; 0,0; 0,0
